eruptions,waiting,predicted_waiting
3.6,79,71.94826203472823
1.8,54,52.450487875862464
3.333,74,69.05609220116314
2.283,62,57.682390608491446
4.533,85,82.05460830707365
2.883,55,64.1816486614467
4.7,88,83.8635684651462
3.6,85,71.94826203472823
1.95,51,54.075302389101275
4.35,85,80.07233460092229
1.833,54,52.807947068775
3.917,84,75.38203670603959
4.2,78,78.44752008768349
1.75,47,51.908883038116194
4.7,83,83.8635684651462
2.167,52,56.425867384920096
1.75,62,51.908883038116194
4.8,84,84.94677814063874
1.6,52,50.284068524877384
4.25,79,78.98912492542976
1.8,51,52.450487875862464
1.75,47,51.908883038116194
3.45,78,70.32344752148941
3.067,69,66.17475446435299
4.533,74,82.05460830707365
3.6,83,71.94826203472823
1.967,55,54.25944803393501
4.083,76,77.18016476735721
3.85,78,74.65628622345959
4.433,79,80.97139863158111
4.3,73,79.53072976317603
4.467,77,81.33968992124858
3.367,66,69.4243834908306
4.033,80,76.63855992961095
3.833,74,74.47214057862585
2.017,52,54.80105287168128
1.867,48,53.17623835844246
4.833,80,85.30423733355128
1.833,59,52.807947068775
4.783,90,84.76263249580501
4.35,80,80.07233460092229
1.883,58,53.34955190652127
4.567,84,82.42289959674112
1.75,58,51.908883038116194
4.533,73,82.05460830707365
3.317,83,68.88277865308433
3.833,64,74.47214057862585
2.1,53,55.70011690234009
4.633,82,83.13781798256619
2.0,59,54.616907226847545
4.8,75,84.94677814063874
4.716,90,84.03688201322501
1.833,54,52.807947068775
4.833,80,85.30423733355128
1.733,54,51.72473739328246
4.883,83,85.84584217129755
3.717,71,73.2156173550545
1.667,64,51.00981900745738
4.567,77,82.42289959674112
4.317,81,79.71487540800976
2.233,59,57.140785770745175
4.5,84,81.6971491141611
1.75,48,51.908883038116194
4.8,82,84.94677814063874
1.817,60,52.6346335206962
4.4,92,80.61393943866858
4.167,78,78.09006089477094
4.7,78,83.8635684651462
2.067,65,55.342657709427556
4.7,73,83.8635684651462
4.033,82,76.63855992961095
1.967,56,54.25944803393501
4.5,79,81.6971491141611
4.0,71,76.2811007366984
1.983,62,54.43276158201382
5.067,76,87.83894797420383
2.017,60,54.80105287168128
4.567,78,82.42289959674112
3.883,76,75.01374541637213
3.6,83,71.94826203472823
4.133,75,77.72176960510347
4.333,82,79.88818895608857
4.1,70,77.36431041219095
2.633,65,61.47362447271534
4.067,73,77.0068512192784
4.933,88,86.38744700904383
3.95,76,75.73949589895213
4.517,80,81.88129475899485
2.167,48,56.425867384920096
4.0,86,76.2811007366984
2.2,60,56.78332657783263
4.333,90,79.88818895608857
1.867,50,53.17623835844246
4.817,78,85.13092378547248
1.833,63,52.807947068775
4.3,72,79.53072976317603
4.667,84,83.50610927223366
3.75,75,73.57307654796705
1.867,51,53.17623835844246
4.9,82,86.0299878161313
2.483,62,59.848809959476526
